,SNIa_Probability,SNII_Probability,SNIbc_Probability,SLSN_Probability,ZTF_ID,host_ra,hostdec,has_host?,TNS_Classification,Alerce_SNIa_Probability,Alerce_SNII_Probability,Alerce_SNIbc_Probability,Alerce_SLSN_Probability
8950,0.267,0.175333333,0.508666667,0.049,ZTF19acahpfn,,,False,Object Not Found,0.314,0.234,0.4,0.052
8951,0.618333333,0.107333333,0.206,0.068333333,ZTF19abdyfxf,,,False,Object Not Found,0.426,0.094,0.36,0.12
8952,0.073333333,0.404333333,0.115666667,0.406666667,ZTF19abyjhuo,,,False,Object Not Found,0.074,0.298,0.118,0.51
8953,0.059,0.290666667,0.382,0.268333333,ZTF19acbixgk,278.6162502,64.77325926,True,Object Not Found,0.056,0.372,0.18,0.392
8954,0.191,0.253333333,0.046666667,0.509,ZTF20acwjnux,110.6412664,72.77281777,True,Object Not Found,0.206,0.246,0.156,0.392
8955,0.447333333,0.115333333,0.158666667,0.278666667,ZTF19aciefgg,28.35201604,8.32297572,True,Object Not Found,0.43,0.198,0.22,0.152
8956,0.629666667,0.125333333,0.111,0.134,ZTF20aaqshpv,222.7999953,16.5852204,True,Object Not Found,,,,
8957,0.373,0.338666667,0.232333333,0.056,ZTF20aazqtwk,138.0704806,79.07282504,True,Object Not Found,0.412,0.16,0.222,0.206
8958,0.268,0.232333333,0.491666667,0.008,ZTF20aavnztx,131.9487681,-0.38093504,True,Object Not Found,0.346,0.224,0.35,0.08
8959,0.338333333,0.239,0.416,0.006666667,ZTF20aautqyd,166.5924981,15.87943456,True,Object Not Found,0.374,0.144,0.304,0.178
8960,0.524,0.189,0.257666667,0.029333333,ZTF20aauxmab,,,False,Object Not Found,0.246,0.176,0.228,0.35
8961,0.074333333,0.396,0.134,0.395666667,ZTF20aammbvq,,,False,Object Not Found,0.11,0.356,0.12,0.414
8962,0.473666667,0.142,0.272333333,0.112,ZTF20abixtkl,231.1305916,44.63715869,True,Object Not Found,0.37,0.172,0.246,0.212
8963,0.545666667,0.146,0.085333333,0.223,ZTF21aaagzee,164.4071012,-7.47467536,True,Object Not Found,0.504,0.156,0.22,0.12
8964,0.03,0.902,0.056,0.012,ZTF20actnzzk,186.4204539,-2.95070878,True,Object Not Found,0.12,0.498,0.136,0.246
8965,0.07,0.415666667,0.185666667,0.328666667,ZTF20actnzxm,184.4668128,-0.90737629,True,Object Not Found,0.036,0.566,0.074,0.324
8966,0.452,0.215,0.110333333,0.222666667,ZTF18ackvfyc,18.65505032,27.31727543,True,Object Not Found,0.288,0.178,0.338,0.196
8967,0.074,0.574,0.273666667,0.078333333,ZTF20acxzlrc,194.5335439,-16.45392342,True,Object Not Found,0.118,0.252,0.206,0.424
8968,0.082666667,0.795333333,0.047,0.075,ZTF21aaaxtxr,210.4386437,27.93494421,True,Object Not Found,0.152,0.392,0.14,0.316
8969,0.406333333,0.201666667,0.335666667,0.056333333,ZTF19aabimbg,77.66486431,17.6130721,True,Object Not Found,0.368,0.208,0.314,0.11
8970,0.140333333,0.359666667,0.387666667,0.112333333,ZTF20acbjgoa,217.7545099,25.49435219,True,Object Not Found,0.16,0.432,0.246,0.162
8971,0.028333333,0.882666667,0.052333333,0.036666667,ZTF20acuoxdl,208.4331855,33.79569444,True,Object Not Found,0.042,0.49,0.08,0.388
8972,0.627,0.088,0.259,0.026,ZTF21aacujkj,240.0395447,53.64652532,True,Object Not Found,0.452,0.126,0.338,0.084
8973,0.618,0.099666667,0.260333333,0.022,ZTF21aacugzd,235.7433176,62.57887067,True,Object Not Found,0.45,0.138,0.3,0.112
8974,0.621666667,0.132666667,0.138666667,0.107,ZTF21aacugya,219.7824944,49.32736337,True,Object Not Found,0.486,0.132,0.262,0.12
8975,0.669,0.130333333,0.120333333,0.080333333,ZTF21aabyrhy,235.0129789,18.77906499,True,Object Not Found,0.422,0.172,0.226,0.18
8976,0.112,0.172666667,0.025,0.690333333,ZTF20aczhaeu,237.9295454,27.79307927,True,Object Not Found,0.064,0.39,0.09,0.456
8977,0.360333333,0.483333333,0.152,0.004333333,ZTF19acbwmqd,249.6614158,33.68530694,True,Object Not Found,0.078,0.506,0.124,0.292
