,Training_set,ZTF_ID,TNS_class,my_class,my_SN_Ia,my_SN_II,my_SN_Ibc,my_SLSN,ALeRCE_class,ALeRCE_SN_Ia,ALeRCE_SN_II,ALeRCE_SN_Ibc,ALeRCE_SLSN,Redshift
4618,False,ZTF19aavlgjq,No Classification,SN Ib/c,0.243,0.257,0.438,0.062,SNIbc,0.284,0.242,0.376,0.098,0.114168
4619,False,ZTF19aayfhtc,No Classification,SN Ib/c,0.327,0.175,0.454,0.044,SNIa,0.38,0.18,0.37,0.07,No Redshift
4620,False,ZTF18aaxkoez,Object Not Found,SN Ia,0.4,0.223,0.283,0.094,SNIa,0.298,0.25,0.278,0.174,No Redshift
4621,False,ZTF19abaeyqw,SLSN-I,SLSN,0.071,0.203,0.056,0.67,SLSN,0.204,0.154,0.17,0.472,0.4
4622,False,ZTF20aauqnar,No Classification,SN II,0.105,0.447,0.236,0.212,SNIbc,0.228,0.256,0.312,0.204,No Redshift
4623,False,ZTF20ababfpj,No Classification,SN Ia,0.685,0.084,0.129,0.102,SNIa,0.464,0.124,0.206,0.206,No Redshift
4624,False,ZTF20acpypow,No Classification,SN Ia,0.451,0.126,0.273,0.15,SNIa,0.388,0.172,0.256,0.184,No Redshift
4625,False,ZTF20aboensu,No Classification,SN Ia,0.537,0.109,0.29,0.064,SNIa,0.44,0.174,0.286,0.1,No Redshift
4626,False,ZTF18acrewey,No Classification,SN II,0.102,0.458,0.257,0.183,SNII,0.244,0.31,0.278,0.168,No Redshift
4627,False,ZTF19abhjhon,No Classification,SN Ia,0.332,0.211,0.242,0.215,SNIa,0.356,0.198,0.29,0.156,No Redshift
4628,False,ZTF18acvweal,SN Ia,SN Ia,0.388,0.272,0.236,0.104,SNIa,0.312,0.186,0.306,0.196,0.08
4629,False,ZTF18acpfwmm,SN Ia,SN Ia,0.62,0.131,0.182,0.067,SNIa,0.426,0.172,0.31,0.092,0.0493
4630,False,ZTF19abzsnqm,Nova,SN Ib/c,0.294,0.266,0.371,0.069,SNIa,0.362,0.238,0.284,0.116,0.00019
4631,False,ZTF20abcoibn,No Classification,SN Ia,0.408,0.225,0.274,0.093,SNIa,0.336,0.176,0.268,0.22,No Redshift
4632,False,ZTF20abiiktx,No Classification,SN Ib/c,0.26,0.271,0.282,0.187,SNIbc,0.298,0.17,0.402,0.13,No Redshift
4633,False,ZTF20abkwuxw,No Classification,SN Ia,0.354,0.264,0.271,0.111,SNIa,0.286,0.252,0.27,0.192,0.1011
4634,False,ZTF20ablqdcg,Object Not Found,SN II,0.065,0.42,0.163,0.352,SLSN,0.234,0.284,0.194,0.288,No Redshift
4635,False,ZTF20abvyqia,SN IIP,SN II,0.128,0.415,0.18,0.277,SNIbc,0.25,0.224,0.282,0.244,0.086
